epoch,train_loss,val_top1,val_top5,lr
258,3.394396,0.5125,0.7491,2.18e-05
259,3.447784,0.5148,0.7495,2.126e-05
260,3.439795,0.5117,0.7461,2.072e-05
261,3.47134,0.513,0.7462,2.02e-05
262,3.438837,0.5142,0.7464,1.969e-05
263,3.413099,0.5164,0.7485,1.92e-05
264,3.374384,0.5135,0.7459,1.871e-05
265,3.42307,0.5158,0.7435,1.824e-05
266,3.389632,0.5161,0.7471,1.778e-05
267,3.482809,0.5102,0.7454,1.733e-05
268,3.379949,0.5141,0.746,1.69e-05
269,3.403633,0.5156,0.7484,1.648e-05
270,3.397997,0.5151,0.7499,1.607e-05
271,3.418527,0.5137,0.7473,1.568e-05
272,3.446727,0.5146,0.7475,1.53e-05
273,3.448391,0.5131,0.7486,1.493e-05
274,3.402682,0.516,0.7487,1.457e-05
275,3.377082,0.5138,0.7474,1.423e-05
276,3.386505,0.5129,0.7464,1.39e-05
277,3.401091,0.5141,0.7475,1.358e-05
278,3.433986,0.5152,0.7452,1.328e-05
279,3.434948,0.517,0.7471,1.299e-05
280,3.454542,0.5149,0.7458,1.271e-05
281,3.329415,0.5128,0.7453,1.245e-05
282,3.380076,0.5134,0.7429,1.22e-05
283,3.373668,0.5138,0.7463,1.196e-05
284,3.406136,0.5162,0.7476,1.174e-05
285,3.402665,0.517,0.7473,1.153e-05
286,3.414912,0.5165,0.7473,1.133e-05
287,3.39301,0.5179,0.7461,1.115e-05
288,3.394093,0.5164,0.7481,1.098e-05
289,3.440374,0.5158,0.7468,1.082e-05
290,3.43395,0.5152,0.7465,1.068e-05
291,3.355014,0.5171,0.7469,1.055e-05
292,3.401022,0.5152,0.7462,1.044e-05
293,3.380932,0.5154,0.7468,1.033e-05
294,3.452102,0.5154,0.7468,1.024e-05
295,3.395658,0.5163,0.7463,1.017e-05
296,3.462475,0.515,0.7426,1.011e-05
297,3.358148,0.5147,0.7438,1.006e-05
298,3.374693,0.5153,0.7426,1.003e-05
299,3.373856,0.5152,0.743,1.001e-05
